,global,local,fusion
91,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.3907183  0.699825   0.31669512 ... 0.38472828 0.61237746 0.70644206]
 [0.3909275  0.7046643  0.31010395 ... 0.37614444 0.6133619  0.7159039 ]
 [0.38737118 0.7185673  0.29560426 ... 0.3964402  0.6243243  0.7245435 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5806676  0.55488116 0.49341884 ... 0.48921427 0.6532743  0.56178004]
 [0.5860331  0.556594   0.48379296 ... 0.4843721  0.6565759  0.56461453]
 [0.59359145 0.5665733  0.48236737 ... 0.48610562 0.6581442  0.5609651 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6884121  0.3831398  0.43411747 ... 0.5598472  0.745289   0.5615067 ]
 [0.6997425  0.38077873 0.42752227 ... 0.56468445 0.7536018  0.5635759 ]
 [0.7002695  0.37494928 0.42873293 ... 0.5573777  0.7570322  0.5492747 ]]"
92,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.42411715 0.64647996 0.3656136  ... 0.41625115 0.5820917  0.6489152 ]
 [0.42780885 0.6362253  0.37603167 ... 0.42109397 0.57345957 0.6341334 ]
 [0.35586688 0.7415871  0.27431217 ... 0.32104853 0.6254374  0.74700713]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5871303  0.5489076  0.50442517 ... 0.5053532  0.6517914  0.56195444]
 [0.58158123 0.5330377  0.50429404 ... 0.51045215 0.63532954 0.5719873 ]
 [0.5951086  0.5639752  0.48348278 ... 0.5058691  0.67352235 0.57653195]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.686195   0.40069324 0.43343735 ... 0.5512714  0.7240804  0.5283093 ]
 [0.68132585 0.40343812 0.4376091  ... 0.5534301  0.7021267  0.5398228 ]
 [0.73122823 0.3217455  0.4380314  ... 0.56454843 0.80081517 0.5732302 ]]"
93,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.38811323 0.7131677  0.305985   ... 0.3840392  0.6186502  0.7161736 ]
 [0.39281648 0.6887831  0.33663222 ... 0.3661732  0.58774036 0.68269175]
 [0.39530012 0.6875042  0.33448634 ... 0.36029688 0.5863482  0.6868532 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5854225  0.5599539  0.47307995 ... 0.48807845 0.6688089  0.5692199 ]
 [0.5772664  0.54897964 0.5001865  ... 0.48916167 0.62637615 0.5563223 ]
 [0.5701657  0.54772365 0.50628453 ... 0.49182585 0.6164856  0.557328  ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6982106  0.36547193 0.42903775 ... 0.5682052  0.7598481  0.5467294 ]
 [0.6717454  0.3643835  0.45580423 ... 0.5527933  0.7308268  0.57768786]
 [0.669026   0.37110457 0.4569613  ... 0.5540049  0.7264961  0.5872523 ]]"
94,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.3233658  0.7723368  0.24178994 ... 0.28716835 0.6306805  0.78900224]
 [0.33178645 0.76668376 0.25315285 ... 0.29596457 0.6317807  0.776258  ]
 [0.3756748  0.7188041  0.29814896 ... 0.37569267 0.62009406 0.72360027]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.58592695 0.5285873  0.5137644  ... 0.51672935 0.6443586  0.57604134]
 [0.59589684 0.54383796 0.51134056 ... 0.5168994  0.6593404  0.5712866 ]
 [0.5904416  0.56379956 0.47721502 ... 0.4824203  0.6624984  0.57647115]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.7131352  0.31382728 0.4619181  ... 0.54446363 0.80751354 0.6535913 ]
 [0.7226853  0.30831596 0.44988316 ... 0.5514351  0.81420213 0.63119006]
 [0.7031659  0.36001274 0.4321694  ... 0.5612471  0.7628822  0.55684704]]"
95,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.3760936  0.72483766 0.2899776  ... 0.35642052 0.6186669  0.732948  ]
 [0.38391337 0.7201527  0.29505897 ... 0.36500815 0.6222637  0.72364557]
 [0.40799195 0.6716166  0.33906057 ... 0.41026455 0.59376514 0.6777397 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.59048945 0.5679877  0.46576083 ... 0.49600586 0.6729731  0.58512807]
 [0.5976269  0.56600904 0.46643472 ... 0.49255538 0.6826087  0.5811712 ]
 [0.58421665 0.5522009  0.51005995 ... 0.50530934 0.6355293  0.55005497]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.7114458  0.34852287 0.4298617  ... 0.563148   0.77284634 0.56108016]
 [0.7129723  0.35340506 0.4225563  ... 0.5545447  0.772312   0.54633373]
 [0.68007874 0.39353243 0.42277685 ... 0.5469316  0.7382948  0.54913443]]"
96,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.37715697 0.7122588  0.29860383 ... 0.34805572 0.6059529  0.7203327 ]
 [0.39451113 0.6991434  0.3204385  ... 0.38237047 0.6128632  0.6990729 ]
 [0.38933975 0.69893825 0.31682387 ... 0.3691929  0.6042637  0.70263106]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5730295  0.5592901  0.49412116 ... 0.49850827 0.63442    0.55235684]
 [0.5834338  0.54861766 0.5005632  ... 0.48731387 0.6372139  0.5555321 ]
 [0.5939392  0.55973583 0.4780027  ... 0.4961191  0.65320444 0.55065066]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.68435156 0.34603685 0.45079228 ... 0.5400842  0.75453985 0.57423455]
 [0.68103606 0.37900135 0.44974628 ... 0.5511863  0.74029386 0.56279355]
 [0.6908697  0.35796526 0.42968333 ... 0.54497546 0.7554727  0.55959576]]"
97,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.37186784 0.72504145 0.29170534 ... 0.35094962 0.6103614  0.72647154]
 [0.370685   0.72839963 0.28866196 ... 0.35123897 0.61616844 0.73432416]
 [0.35728046 0.7357252  0.2782334  ... 0.3298647  0.62332404 0.7392562 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5796458  0.56960833 0.46835557 ... 0.4914496  0.6528769  0.576406  ]
 [0.5906086  0.5709254  0.45146573 ... 0.49559876 0.676763   0.58861154]
 [0.58561164 0.5624358  0.48464692 ... 0.512731   0.6673179  0.5712342 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.68715775 0.35365894 0.44036102 ... 0.5590968  0.76286954 0.57152444]
 [0.7143697  0.33904687 0.42832854 ... 0.56583136 0.77493346 0.5556834 ]
 [0.71717143 0.32738757 0.43588507 ... 0.5598266  0.79623485 0.5698093 ]]"
98,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.39373332 0.68348616 0.3241233  ... 0.38893753 0.5895482  0.686717  ]
 [0.3849013  0.7180594  0.29403153 ... 0.37866542 0.61445117 0.7226967 ]
 [0.41192967 0.6618192  0.34989068 ... 0.42371908 0.5871869  0.65607935]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5710266  0.53442144 0.5081193  ... 0.4900434  0.6059393  0.54920685]
 [0.5699604  0.55675715 0.48654297 ... 0.48734787 0.62529254 0.5536471 ]
 [0.59971994 0.5575242  0.47192535 ... 0.51612836 0.6744946  0.58205354]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.65174454 0.39288777 0.4541254  ... 0.5379085  0.7043158  0.5862078 ]
 [0.6717063  0.37643147 0.45163777 ... 0.5505468  0.7323981  0.58274317]
 [0.70406485 0.3943752  0.42061347 ... 0.56473136 0.73886937 0.5057356 ]]"
99,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.43013817 0.6492895  0.36992192 ... 0.41965497 0.5835863  0.656703  ]
 [0.4227112  0.65957445 0.3654882  ... 0.42379454 0.59023684 0.6573433 ]
 [0.42510325 0.65099627 0.36597335 ... 0.41989362 0.5836927  0.65751284]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5934096  0.56863797 0.48811468 ... 0.5201813  0.6635388  0.57058257]
 [0.59128064 0.55931026 0.49363592 ... 0.51351595 0.66174144 0.57026094]
 [0.5923263  0.55090463 0.4918953  ... 0.5084825  0.6558482  0.56296724]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6942332  0.39799836 0.41707626 ... 0.5574584  0.73433924 0.5167489 ]
 [0.69256103 0.39880803 0.4173422  ... 0.5516325  0.7288003  0.51188374]
 [0.6954651  0.4024281  0.41788372 ... 0.5545859  0.7273488  0.5166656 ]]"
100,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.3635309  0.7275869  0.29019108 ... 0.3272456  0.605021   0.73420215]
 [0.35649633 0.7479831  0.27201605 ... 0.3216539  0.61496896 0.7551941 ]
 [0.37755346 0.73708147 0.28098026 ... 0.39009544 0.6356494  0.74225837]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5679053  0.54797864 0.4946284  ... 0.4877759  0.62800497 0.55153805]
 [0.5823951  0.5707481  0.46970758 ... 0.49279222 0.66189224 0.57747585]
 [0.59993035 0.54705787 0.48841843 ... 0.49510503 0.6519315  0.5550211 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.67925954 0.33758256 0.46439952 ... 0.5436285  0.7577885  0.5944232 ]
 [0.71214366 0.32973695 0.44934568 ... 0.5566118  0.79117656 0.591224  ]
 [0.7018277  0.36745468 0.43170488 ... 0.5435195  0.768004   0.5425823 ]]"
101,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.41459155 0.65882665 0.35472533 ... 0.4092383  0.5856713  0.65632385]
 [0.39159957 0.7075281  0.31055433 ... 0.37721118 0.61274743 0.7119945 ]
 [0.37770087 0.7207475  0.30511037 ... 0.37168154 0.6170125  0.7195277 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.57558966 0.5430459  0.51003224 ... 0.4997548  0.6286833  0.55616176]
 [0.58384275 0.5550781  0.5126701  ... 0.49329397 0.6404915  0.55381894]
 [0.59270424 0.5723923  0.47049418 ... 0.48649174 0.669056   0.5739316 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6705868  0.39652288 0.44099942 ... 0.546635   0.7114643  0.5557075 ]
 [0.6802844  0.38007453 0.44043833 ... 0.54797447 0.7452583  0.56851345]
 [0.70526475 0.35970753 0.4255065  ... 0.5631392  0.768722   0.54732245]]"
102,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.39010575 0.7042432  0.31282428 ... 0.3821516  0.60957915 0.70281863]
 [0.37912714 0.73153347 0.28184587 ... 0.37556985 0.6328476  0.7347834 ]
 [0.3653599  0.7374797  0.2817669  ... 0.340541   0.61476463 0.7438408 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.58847904 0.5544129  0.4808785  ... 0.49056932 0.66783875 0.58089983]
 [0.59035414 0.5760961  0.4758042  ... 0.50242764 0.6675679  0.570882  ]
 [0.5761315  0.5560896  0.47766122 ... 0.48975512 0.6414333  0.56379455]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.7041455  0.37568605 0.42627043 ... 0.57147115 0.7546852  0.54722524]
 [0.7007483  0.35677224 0.43085548 ... 0.5656804  0.7727364  0.5562905 ]
 [0.6863489  0.34834385 0.45012662 ... 0.55423784 0.76778936 0.5809793 ]]"
103,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.38664314 0.6954693  0.3250336  ... 0.35472134 0.59085196 0.6974795 ]
 [0.39493942 0.6845313  0.33386123 ... 0.35853148 0.5836123  0.6889095 ]
 [0.35046905 0.7400323  0.28053185 ... 0.31178695 0.60965836 0.7451967 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5807576  0.5506978  0.5118494  ... 0.49370065 0.62208855 0.54668075]
 [0.5829004  0.5535696  0.51464075 ... 0.502528   0.6303817  0.55567575]
 [0.58071303 0.5639465  0.47050303 ... 0.5029697  0.6679672  0.57695574]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.67531234 0.3639068  0.45733985 ... 0.53865063 0.7351099  0.5836564 ]
 [0.6815992  0.36786056 0.45594558 ... 0.5445548  0.73966    0.5828639 ]
 [0.70333797 0.3220991  0.4538436  ... 0.5519524  0.79355067 0.58389527]]"
104,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.42380664 0.65604866 0.3620835  ... 0.42391068 0.5886621  0.6575145 ]
 [0.4051323  0.67906153 0.32796177 ... 0.42139944 0.60305107 0.6879411 ]
 [0.3814528  0.72302336 0.29703844 ... 0.36314484 0.6190976  0.72536993]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5950117  0.5692152  0.48572332 ... 0.5084632  0.6625876  0.56898576]
 [0.5859853  0.55895615 0.48542377 ... 0.50775236 0.6439998  0.56283534]
 [0.5925417  0.5654978  0.46782765 ... 0.49361467 0.6716239  0.5773444 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.7018816  0.3959361  0.41516548 ... 0.5542077  0.7438972  0.50786966]
 [0.6812431  0.3980826  0.41957155 ... 0.5476525  0.7446525  0.53052074]
 [0.70741564 0.35845715 0.42509732 ... 0.5554141  0.7707616  0.5514011 ]]"
105,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.35911044 0.7314203  0.28325018 ... 0.32373238 0.6046899  0.73686016]
 [0.38390738 0.7235051  0.2950409  ... 0.37418061 0.62544274 0.7280472 ]
 [0.3816942  0.73047304 0.28687918 ... 0.36356726 0.62417996 0.7344007 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5758531  0.5468132  0.49574816 ... 0.49691805 0.6238744  0.5473746 ]
 [0.58983016 0.56104773 0.47462395 ... 0.4985641  0.66960466 0.5634165 ]
 [0.59283066 0.5691998  0.4697295  ... 0.49135172 0.6663249  0.5674314 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.67879254 0.3342026  0.46767896 ... 0.53185886 0.7666324  0.5874273 ]
 [0.701896   0.3595897  0.42923006 ... 0.56265694 0.7746609  0.54342455]
 [0.6982407  0.359831   0.42841706 ... 0.5605797  0.7781698  0.5581159 ]]"
106,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.4627498  0.5889921  0.42274633 ... 0.4577897  0.54617274 0.58630043]
 [0.43543744 0.6239067  0.38549823 ... 0.43956023 0.5692458  0.6247554 ]
 [0.4295535  0.6315619  0.37464786 ... 0.44079682 0.57680094 0.62581336]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.59405893 0.5592272  0.50449824 ... 0.5033595  0.63163805 0.558626  ]
 [0.5746248  0.55525386 0.46276888 ... 0.49862656 0.6571776  0.586088  ]
 [0.5824627  0.5686826  0.4959677  ... 0.50748473 0.6589079  0.55657387]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6580694  0.42342332 0.43434772 ... 0.5421739  0.67088526 0.5119724 ]
 [0.67564964 0.41969314 0.4246282  ... 0.56217796 0.6908884  0.50090253]
 [0.6806478  0.4047395  0.42340395 ... 0.5538533  0.7143159  0.50187397]]"
107,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.39867255 0.6923226  0.3209106  ... 0.3964261  0.6093776  0.6974593 ]
 [0.38818273 0.716918   0.30383122 ... 0.38690177 0.62500703 0.7169396 ]
 [0.39331248 0.7125261  0.30419904 ... 0.39339274 0.6209387  0.7173642 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.59637296 0.5603405  0.5020336  ... 0.49848077 0.66302687 0.55835617]
 [0.5864243  0.5659177  0.48731345 ... 0.48864546 0.6711587  0.5655448 ]
 [0.58798635 0.55754256 0.49595243 ... 0.48966724 0.65648884 0.5546918 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6924787  0.38186368 0.42603573 ... 0.5510328  0.74949825 0.54871655]
 [0.70260316 0.3700885  0.4275691  ... 0.5675827  0.76324326 0.539534  ]
 [0.6859717  0.38114837 0.42582422 ... 0.554225   0.75746626 0.55883074]]"
